"Pledge Name","Item Name","Type","Melt Value","Store Value","Insurance","Manufacturer","Date"
"STORE","Constellation Phoenix Emerald","StoreShip","350","350","[object Object]","Roberts Space Industries",""
"STORE","Constellation Taurus","StoreShip","200","200","[object Object]","Roberts Space Industries",""
"STORE","Constellation Taurus Wikelo War Special","StoreShip","200","200","[object Object]","Roberts Space Industries",""
"STORE","Hermes","StoreShip","220","220","[object Object]","Roberts Space Industries",""
"STORE","Lynx","StoreShip","60","60","[object Object]","Roberts Space Industries",""
"STORE","Mantis","StoreShip","150","150","[object Object]","Roberts Space Industries",""
"STORE","Meteor","StoreShip","260","260","[object Object]","Roberts Space Industries",""
"STORE","Meteor PYAM Exec","StoreShip","260","260","[object Object]","Roberts Space Industries",""
"STORE","Meteor Wikelo Sneak Special","StoreShip","260","260","[object Object]","Roberts Space Industries",""
"STORE","Perseus","StoreShip","800","800","[object Object]","Roberts Space Industries",""
"STORE","Polaris","StoreShip","975","975","[object Object]","Roberts Space Industries",""
"STORE","Polaris","StoreShip","975","975","[object Object]","Roberts Space Industries",""
"STORE","Salvation","StoreShip","60","60","[object Object]","Roberts Space Industries",""
"STORE","Scorpius","StoreShip","240","240","[object Object]","Roberts Space Industries",""
"STORE","Scorpius Antares","StoreShip","230","230","[object Object]","Roberts Space Industries",""
"STORE","Scorpius Wikelo Sneak Special","StoreShip","240","240","[object Object]","Roberts Space Industries",""
"STORE","Ursa","StoreShip","50","50","[object Object]","Roberts Space Industries",""
"STORE","Ursa Fortuna","StoreShip","55","55","[object Object]","Roberts Space Industries",""
"STORE","Ursa Medivac","StoreShip","60","60","[object Object]","Roberts Space Industries",""
"STORE","Ursa Medivac Wikelo Special","StoreShip","60","60","[object Object]","Roberts Space Industries",""
"STORE","Zeus Mk II CL","StoreShip","175","175","[object Object]","Roberts Space Industries",""
"STORE","Zeus Mk II CL","StoreShip","175","175","[object Object]","Roberts Space Industries",""
"STORE","Zeus Mk II ES","StoreShip","175","175","[object Object]","Roberts Space Industries",""
"STORE","Zeus Mk II ES Wikelo Work Special","StoreShip","175","175","[object Object]","Roberts Space Industries",""
"STORE","Syulen PYAM Exec","StoreShip","70","70","[object Object]","Gatac Manufacture",""
"STORE","Syulen PYAM Exec","StoreShip","70","70","[object Object]","Gatac Manufacture",""
"STORE","Cyclone","StoreShip","55","55","[object Object]","Tumbril Land Systems",""
"STORE","Cyclone AA","StoreShip","80","80","[object Object]","Tumbril Land Systems",""
"STORE","Cyclone MT","StoreShip","75","75","[object Object]","Tumbril Land Systems",""
"STORE","Cyclone RC","StoreShip","65","65","[object Object]","Tumbril Land Systems",""
"STORE","Cyclone RN","StoreShip","65","65","[object Object]","Tumbril Land Systems",""
"STORE","Cyclone TR","StoreShip","65","65","[object Object]","Tumbril Land Systems",""
"STORE","Nova","StoreShip","120","120","[object Object]","Tumbril Land Systems",""
"STORE","Storm","StoreShip","90","90","[object Object]","Tumbril Land Systems",""
"STORE","Storm AA","StoreShip","100","100","[object Object]","Tumbril Land Systems",""
"STORE","Mauler Destroyer","StoreShip","45","45","[object Object]","Vanduul",""
"STORE","Vanduul Scythe","StoreShip","300","300","[object Object]","Esperia",""
